tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*OLN,bed,i,y,FAT,41391050_41395750, ,NA
*OLN,bed,i,y,FAT,41391050_41395750, ,NA
*OLN,ball,i,y,FAT,41406980_41425770, ,NA
*CXN,banana,d,y,BR2,41489910_41490720, ,NA
*FAN,rooms,i,n,FAT,41535870_41537040, ,NA
*CXN,banana,d,y,BR2,41547230_41548430, ,NA
*MAN,forehead,q,y,FAT,41937040_41938040, ,NA
*MAN,room,i,n,FAT,42012070_42013070, ,NA
*MAF,room,i,y,FAT,42054060_42054860, ,NA
*CHN,baby,s,y,FAT,42262480_42263310, ,NA
*CHN,baby,d,y,BR2,42540270_42540870, ,NA
