tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,paci,d,n,MOT,18013660_18016210, ,NA
*FAN,sun,d,n,AF2,18035280_18040450, ,NA
*FAN,body,d,n,AF2,18050270_18055670, ,NA
*OLF,body,d,n,AF2,18055670_18056500, ,NA
*FAN,sun,q,n,MOT,18085020_18086580, ,NA
*FAN,rain,d,n,MOT,18119560_18120680, ,NA
*CXN,cherries,q,n,BRO,18138740_18139560, ,NA
*FAN,cherries,d,n,MOT,18140600_18142730, ,NA
*FAN,cherries,d,n,MOT,18146690_18148030, ,NA
*FAN,cherries,d,n,MOT,18153420_18154460, ,NA
*FAN,cherries,q,n,MOT,18159780_18161930, ,NA
*FAN,cherry,d,n,MOT,18162730_18164260, ,NA
*FAN,blueberries,d,n,MOT,18184280_18186670, ,NA
*CHN,stick,q,n,MOT,18283600_18284540, ,NA
*CHN,shoes,d,n,MOT,18287840_18289090, ,NA
*CHN,stick,i,n,MOT,18293290_18294300, ,NA
*FAN,shoes,i,n,MOT,18295140_18296190, ,NA
*CHN,blueberry,d,n,MOT,18335600_18337920, ,NA
*CHN,blanket,n,n,MOT,18340580_18341320, ,NA
*FAN,pancakes,d,n,MOT,18376860_18377490, ,NA
*FAN,blueberries,i,n,MOT,21235630_21237190, ,NA
*CXN,raspberry,d,y,SIS,22069840_22072770, ,NA
*CXN,raspberry,d,y,SIS,22073670_22075380, ,NA
*CXN,granola,d,n,BRO,22112210_22113270, ,NA
*FAN,berries,q,y,MOT,22264570_22265760, ,NA
*FAN,potty,d,y,MOT,22464860_22466940, ,NA
*FAN,chocolate+chip,d,n,MOT,22467980_22469100, ,NA
*OLN,potty,i,y,MOT,22476960_22478070, ,NA
*FAN,potty,i,y,MOT,22483660_22485120, ,NA
*FAN,blanket,d,y,MOT,22486840_22489260, ,NA
*FAN,floor,d,n,MOT,22486840_22489260, ,NA
*FAN,potty,i,y,MOT,22496000_22497000, ,NA
*CXN,door,i,n,SIS,22544110_22546320, ,NA
*CHN,poop,d,n,MOT,22627900_22629250, ,NA
*CHN,potty,d,n,MOT,22627900_22629250, ,NA
*CHN,bed,i,n,MOT,22630940_22632180, ,NA
*CHN,mint,i,n,MOT,22630940_22632180, ,NA
*FAN,pee,d,n,MOT,22687010_22690140, ,NA
*FAN,bed,d,n,MOT,22687010_22690140, ,NA
*FAN,blanky,d,n,MOT,22726860_22729960, ,NA
*FAN,dishwasher,i,n,MOT,23054810_23057040, ,NA
*FAN,silverware,i,n,MOT,23057040_23057640, ,NA
*FAN,silverware,d,n,MOT,23079250_23081700, ,NA
*FAN,dishwasher,d,n,MOT,23079250_23081700, ,NA
*FAN,plates,q,n,MOT,23082580_23083990, ,NA
*FAN,marbles,d,n,BRO,24111690_24112690, ,NA
*OLN,marbles,d,n,BRO,24115940_24116990, ,NA
*FAN,tupperware,q,n,MOT,24124980_24125850, ,NA
*FAN,cupboard,n,n,MOT,24126980_24128470, ,NA
*OLN,marbles,d,n,MOT,24152980_24153780, ,NA
*FAN,marbles,d,y,BRO,25380490_25382370, ,NA
*FAN,marble,d,y,MOT,25408890_25410320, ,NA
*FAN,marbles,d,y,BRO,25467460_25468460, ,NA
*CXN,marbles,q,y,BRO,25561320_25561920, ,NA
*FAN,marbles,d,y,MOT,25906270_25907380, ,NA
*FAN,food,q,n,MOT,26448150_26449150, ,NA
*FAN,cheese,q,y,MOT,26923210_26924210, ,NA
*CXN,tractor,d,n,BRO,28158410_28161340, ,NA
*FAN,marbles,d,y,BRO,28767130_28768130, ,NA
*CXN,marbles,d,y,BRO,28813540_28814550, ,NA
*OLN,flip+flops,d,n,BRO,28857380_28858290, ,NA
*CXN,poop,q,n,MOT,28913830_28915450, ,NA
*CXN,poop,d,n,MOT,28913830_28915450, ,NA
*CHN,crocs,i,n,MOT,29022360_29023130, ,NA
*FAN,feet,d,n,MOT,29042980_29045070, ,NA
*FAN,shoulder,d,n,MOT,29150140_29151580, ,NA
*CXN,strap,d,n,BRO,29155910_29158800, ,NA
*FAN,bag,i,n,MOT,29235800_29237250, ,NA
*FAN,carts,d,n,MOT,30093420_30094560, ,NA
*SIL,car+seat,d,n,MOT,30098070_30098870, ,NA
*TVN,cart,d,n,BRO,30105080_30106080, ,NA
*CXN,cart,d,n,BRO,30109500_30110520, ,NA
*TVN,cart,d,n,MOT,30193170_30219850, ,NA
*FAN,diapers,d,n,MOT,30678780_30679840, ,NA
*CXN,diaper,d,n,SIS,30686020_30686880, ,NA
*FAN,diaper,d,n,MOT,30686880_30689920, ,NA
*CXN,diaper,q,n,SIS,30695830_30699210, ,NA
*FAN,shoe,q,n,MOT,30810590_30812240, ,NA
*TVN,shoe,q,n,MOT,30813540_30815020, ,NA
*FAN,shoes,d,n,MOT,30820130_30821700, ,NA
*FAN,undies,d,n,MOT,30826260_30828240, ,NA
*FAN,shoes,q,n,MOT,30826260_30828240, ,NA
*FAF,shoes,d,n,MOT,30836140_30837140, ,NA
*OLN,toys,d,n,MOT,30899040_30900960, ,NA
*FAN,cart,d,n,MOT,30903120_30904670, ,NA
