tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,pajama+jams,d,n,MOT,6564840_6568440, ,NA
*FAN,jammies,d,n,MOT,6571090_6574060, ,NA
*FAF,bath,d,n,MOT,6652900_6653900, ,NA
*FAN,mosquito+bite,d,n,MOT,6658490_6660320, ,NA
*FAN,nose,d,y,MOT,6658490_6660320, ,NA
*FAN,bottle,d,n,MOT,6936610_6941060, ,NA
*FAN,mosquito+bite,d,y,MOT,6982790_6986020, ,NA
*FAN,food,q,n,MOT,7012210_7016070, ,NA
*FAN,prunes,q,n,MOT,7012210_7016070, ,NA
*FAN,apples,q,n,MOT,7012210_7016070, ,NA
*FAN,apples,q,n,MOT,7012210_7016070, ,NA
*FAN,prunes,q,n,MOT,7012210_7016070, ,NA
*FAN,prunes,n,n,MOT,7017070_7019100, ,NA
*FAN,apples,n,n,MOT,7017070_7019100, ,NA
*FAN,apples,n,n,MOT,7017070_7019100, ,NA
*FAN,prunes,n,n,MOT,7017070_7019100, ,NA
*FAN,prunes,n,n,MOT,7019980_7021370, ,NA
*FAN,apples,n,n,MOT,7019980_7021370, ,NA
*FAN,hands,d,n,MOT,7045470_7046270, ,NA
*FAN,apples,n,y,MOT,7307430_7309590, ,NA
*FAN,prunes,n,y,MOT,7307430_7309590, ,NA
*FAN,prunes,q,y,MOT,7317820_7318860, ,NA
*FAN,apples,q,y,MOT,7317820_7318860, ,NA
*FAN,apples,n,y,MOT,7319470_7320470, ,NA
*FAN,prunes,n,y,MOT,7319470_7320470, ,NA
*FAN,prunes,n,y,MOT,7373250_7374630, ,NA
*FAN,apples,n,y,MOT,7373250_7374630, ,NA
*MAN,apples,n,y,MOT,7374630_7375630, ,NA
*MAN,prunes,n,y,MOT,7374630_7375630, ,NA
*FAN,remote,q,y,MOT,7393630_7395380, ,NA
*MAN,apples,d,y,MOT,7395380_7396460, ,NA
*MAN,prunes,d,y,MOT,7395380_7396460, ,NA
*FAN,apples,d,y,MOT,7399350_7401530, ,NA
*FAN,prunes,d,y,MOT,7399350_7401530, ,NA
*FAN,laundry,d,n,MOT,7421060_7423420, ,NA
*FAN,mouth,i,y,MOT,7441870_7442870, ,NA
*FAN,apples,q,y,MOT,7491240_7496220, ,NA
*FAN,prunes,d,y,MOT,7491240_7496220, ,NA
*FAN,face,d,y,MOT,7504160_7505670, ,NA
