tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,food,q,n,MOT,34267850_34269650, ,NA
*FAN,mail,q,n,MOT,34316340_34317870, ,NA
*FAN,keys,q,n,MOT,34332700_34333960, ,NA
*FAN,door,d,y,MOT,34352880_34354180, ,NA
*MAN,stink+bug,n,n,MOT,34356750_34357990, ,NA
*FAN,mail,d,n,MOT,34386540_34387760, ,NA
*FAN,mailbox,q,n,MOT,34390860_34391920, ,NA
*FAN,hand,d,n,MOT,34416880_34417880, ,NA
*FAN,acorn+shell,d,y,MOT,34471240_34472240, ,NA
*FAN,acorn,d,y,MOT,34480030_34481910, ,NA
*FAN,nut,d,y,MOT,34483000_34484260, ,NA
*FAN,hat,d,n,MOT,34485070_34488680, ,NA
*FAN,acorn,d,y,MOT,34485070_34488680, ,NA
*OLN,plane,d,n,MOT,34518710_34527060, ,NA
*FAN,mail,n,y,MOT,34548280_34549280, ,NA
*FAN,street,d,y,MOT,34646430_34647880, ,NA
*FAN,hand,d,y,MOT,34646430_34647880, ,NA
*FAN,cars,d,n,MOT,34649000_34650000, ,NA
*FAN,cars,d,y,MOT,34655300_34657970, ,NA
*FAN,road,d,n,MOT,34672750_34674440, ,NA
*FAN,road,d,y,MOT,34703380_34705930, ,NA
*FAN,car,d,y,MOT,34777440_34779980, ,NA
*FAN,house,d,n,MOT,34777440_34779980, ,NA
*FAN,house,d,y,MOT,34803420_34805610, ,NA
*CHN,keys,q,y,MOT,34816820_34817460, ,NA
*FAN,fruit,d,n,MOT,34834660_34835850, ,NA
*MAN,stink+bug,d,n,MOT,34835850_34837000, ,NA
*MAN,grapes,d,n,FAT,34837800_34839410, ,NA
*MAN,hand,d,n,MOT,34905520_34907060, ,NA
*FAN,hands,d,n,MOT,34907060_34908970, ,NA
*FAN,laundry,n,n,MOT,34989220_34990550, ,NA
*FAN,glass,q,y,FAT,35189570_35191590, ,NA
*MAN,towels,q,y,FAT,35219610_35220740, ,NA
*FAN,fingers,i,n,MOT,35238270_35239270, ,NA
*MAN,finger,i,n,FAT,35239270_35240520, ,NA
*FAN,finger,i,n,MOT,35241350_35242970, ,NA
*FAN,finger,d,n,MOT,35246110_35247120, ,NA
*NON,trash,d,y,MOT,35274460_35275460, ,NA
*FAN,chair,d,y,MOT,35332940_35335040, ,NA
*FAN,Goodnight+goon,d,y,MOT,35372910_35376250, ,NA
*FAN,tomb,r,n,MOT,35377050_35378780, ,NA
*MAN,gravestone,r,y,MOT,35378780_35380440, ,NA
*FAN,lagoon,r,y,MOT,35380440_35382220, ,NA
*FAN,martians,r,y,MOT,35384770_35386170, ,NA
*MAN,moon,r,y,MOT,35386170_35387580, ,NA
*FAN,mummies,r,y,MOT,35387580_35390170, ,NA
*FAN,tummies,r,y,MOT,35387580_35390170, ,NA
*FAN,claws,r,y,MOT,35391810_35397650, ,NA
*FAN,jaws,r,y,MOT,35391810_35397650, ,NA
*FAN,bat,r,y,MOT,35391810_35397650, ,NA
*FAN,hat,r,y,MOT,35391810_35397650, ,NA
*FAN,skull,r,y,MOT,35398980_35399980, ,NA
*FAN,shoe,r,y,MOT,35400740_35402610, ,NA
*FAN,pot,r,y,MOT,35400740_35402610, ,NA
*MAN,goo,r,y,MOT,35402610_35403610, ,NA
*FAN,werewolf,r,y,MOT,35404610_35405210, ,NA
*FAN,tomb,r,y,MOT,35408750_35410020, ,NA
*FAN,goon,r,y,MOT,35412890_35413990, ,NA
*FAN,martians,r,y,MOT,35414790_35416190, ,NA
*MAN,moon,r,y,MOT,35416190_35417200, ,NA
*FAN,bones,r,y,MOT,35418920_35421490, ,NA
*FAN,lagoon,r,y,MOT,35418920_35421490, ,NA
*FAN,mummies,r,y,MOT,35422090_35424510, ,NA
*FAN,tummies,r,y,MOT,35422090_35424510, ,NA
*FAN,claws,r,y,MOT,35425350_35428000, ,NA
*FAN,jaws,r,y,MOT,35425350_35428000, ,NA
*FAN,bat,r,y,MOT,35435950_35438590, ,NA
*FAN,hat,r,y,MOT,35435950_35438590, ,NA
*FAN,skull,r,y,MOT,35441930_35443730, ,NA
*MAN,shoe,r,y,MOT,35443730_35444730, ,NA
*FAN,creature,r,y,MOT,35446370_35447660, ,NA
*MAN,goo,r,y,MOT,35447660_35448770, ,NA
*FAN,werewolf,r,y,MOT,35451850_35454630, ,NA
*FAN,monsters,r,y,MOT,35463550_35464800, ,NA
