tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,box,i,y,MOT,6867860_6869340, ,NA
*CXN,cereal,q,n,SIS,6905040_6906290, ,NA
*FAN,cereal,d,n,MOT,6917630_6919810, ,NA
*FAN,milk,d,n,MOT,6917630_6919810, ,NA
*FAN,bowl,d,n,MOT,6917630_6919810, ,NA
*FAN,cereal,q,n,MOT,6920610_6923600, ,NA
*FAN,milk,q,n,MOT,6920610_6923600, ,NA
*FAN,bowl,q,n,MOT,6920610_6923600, ,NA
*FAN,glass,q,n,MOT,6920610_6923600, ,NA
*FAN,milk,q,n,MOT,6920610_6923600, ,NA
*CXN,bowl,d,n,SIS,6928230_6929230, ,NA
*CXN,milk,d,n,SIS,6928230_6929230, ,NA
*CXN,bowl,n,n,SIS,6929830_6930900, ,NA
